,idx,fcn,p0,p1,p2,p3,p4,s,x0,y0,I_max,sum,R_t,Int,err_Int
0,0,8111.460769237592,17.381402434229475,0.02042011501151272,0.00018158373681135027,-0.00377832136682102,0.017203818452427213,1.0999826688733425,93.27324857038724,14.184626057538615,179.00000000000006,3914.0,88.79628434399719,1037384.8072018703,0.011622876668330173
1,3,18516.44693712549,6.8059222006305875,-0.032247926213459316,-0.00014489454509612472,0.004405378810895513,0.008110703471615868,1.0344377199250612,21.34448026305078,64.79376415381925,116.99999999999994,2745.0,86.90263379230804,661702.2074590733,0.002982213056448607
2,5,22270.776402387153,10.533210217204436,-0.021675841383159346,-8.604656854879382e-05,0.0028737297308450305,0.035578850204413634,0.9026098184504102,10.71251741595513,-63.515423681003156,135.99999999999997,2971.0,70.83024715931747,728419.6684135345,0.005348457956258573
3,7,8155.124982184538,4.6506533920687705,-0.030527561501334035,-0.00016197088463597664,0.004666696393960504,0.001015594435562464,0.9298238436805799,3.3089744068806963,-35.14326163891551,59.99999999999998,1441.0,155.1032085032415,324484.220564279,0.0012993968736198548
4,8,4850.01659869326,23.31307015731704,-0.014564300917012064,-2.3522322755545644e-05,0.0012637601629382315,0.22560776448066786,0.9909848997274925,150.91154428097457,-149.1054131284658,153.99999999999994,2939.0,206.1269328957281,1134521.2701930767,0.011342473488787697
5,10,18310.629415319338,9.695137252417052,-0.01805904074694131,-6.863175508306011e-05,0.0024960602211556507,0.01310368380353566,0.9040859165906797,33.80379984635062,98.55911699299321,141.0,3039.0,108.61379315691032,768553.6894770713,0.00032130714288978665
6,11,13663.77509637529,7.667674876946695,-0.02525277950875911,-0.00011453898007993749,0.003541642068139112,0.020764883530512954,0.900010119891283,-2.693392244542514,-113.19180665801237,94.99999999999994,2099.0,132.02738393867386,519036.4473544077,4.132720874214235e-05
7,12,4696.131120162407,17.286201997436134,0.014846249332253583,0.000111549013908279,-0.0024534613865979963,0.014914458926962314,1.0994292121092324,134.0992918592328,-103.51560069997147,154.99999999999997,3412.0,166.65049613187475,1092634.1058113507,0.0012240392734056416
8,14,14589.191443576316,9.261266172101102,-0.023295900761232308,-8.982145026333209e-05,0.002975989036848661,0.012218083164519049,1.0981826068547114,43.27707530850867,124.66581182815308,149.99999999999997,2959.0,135.7611255965418,782066.8807000893,0.007800076056333982
9,16,4337.63030918659,5.804354306389037,-0.017836334938297234,-0.00011341449549322721,0.003266635304385867,0.0010000000275895136,0.9000012931620763,-1.0821237739556462,137.69189520129575,59.00000000000002,1195.0,212.4839600769903,287591.0815024555,0.0017233792561085065
10,18,24800.06774842762,12.642939590004175,0.0075922517410008895,7.058396343999231e-05,-0.0006000689692253663,0.0010805937236769451,0.903120228158279,8.678733649751525,-4.084250409558349,148.00000000000003,2804.0,45.293048919426916,675664.9745560045,0.0016860116524991253
11,19,18392.3936649031,6.688533839907973,-0.03452392609050884,-0.00015868840781058918,0.004959246951828264,0.0018005229781413406,1.0228067061405075,8.194959635854264,-140.73548628819964,175.0,2604.0,149.34186997038037,675543.4171178965,0.002720970064169319
12,20,17792.823655150063,5.796042937840196,-0.03570075115528125,-0.00017001138111297828,0.005201948467629405,0.0010000000113758927,0.9000000828079604,8.621721004895543,-56.05496010175827,108.99999999999997,2365.0,93.77501783524225,563705.647753516,0.001964147281891815
13,21,14459.468533540918,10.348950247725197,-0.015759489487733525,-6.624227092961435e-05,0.0023954169630048035,0.004697299282865588,0.9877347486919137,23.171947403144287,-146.60814566669615,154.00000000000003,3084.0000000000005,147.70997207417514,855587.5961292782,0.0035613475799434885
14,24,6220.211946780734,15.649090277263412,0.011512027672145531,0.00011204284184426868,-0.002223275513386314,0.013893264361496831,1.099999979585457,124.66964687525626,-1.7439393059592434,191.00000000000003,3817.0,123.60193251709943,1066069.6614597025,0.00045752238966939585
15,28,9928.314138488005,10.574701870202375,-0.010877377603607416,-2.1019204990801507e-05,0.0014466991893677104,0.006196680435676849,0.9076358342977733,64.65405922277117,122.2554903062467,147.0,3245.0,137.55133199504104,899333.6665803595,0.0004779709203234679
16,30,5411.83724424393,14.346028259149325,0.015546718905143265,0.0001170005183418915,-0.002002428703366691,0.0011100409939087514,0.9016884204531932,117.41579947144788,151.56519805228044,158.0,2908.0,188.48318558959048,996947.1490785428,0.011509097660486134
