,idx,fcn,p0,p1,p2,p3,p4,s,x0,y0,I_max,sum,R_t,Int,err_Int
0,0,12514.031381320903,22.20755320674289,0.016033433778740912,0.00015921734020695895,-0.003112196236681757,0.026647968497034442,1.062697030983375,91.60242686641955,17.373667570802397,255.00000000000006,5186.0,88.79628434399719,1373669.2347556413,0.0069796066096066145
1,1,15491.503418034496,16.95979493439037,-0.005575323395174364,3.4654898016584727e-06,0.0004918552802464481,0.016532329043507432,1.0999870003625822,70.37675760872268,-139.02978541796537,241.0,4479.0,150.00942034205718,1318120.3080344624,0.0014018098119574149
2,6,3686.156516511273,4.100898706514644,-0.022698359324574233,-0.00010781861051990739,0.0033173202047651583,0.0010152130871501663,0.9778277360428825,9.660308182680067,120.4431035685493,38.000000000000014,1072.0,235.62683477057533,254253.38696493662,0.0007112767206525848
3,7,12099.540716566862,17.671158091153714,0.0038646068972023316,6.698100091263305e-05,-0.0009821479018978993,0.01270975100658479,1.0999999991609666,89.63098216345206,-75.02055427478541,299.00000000000006,5034.0,114.08915993029312,1359171.5304976786,0.004478087071473277
4,9,6018.723424398418,19.92535147617025,0.015475898263249356,0.00011540285094127503,-0.0024611138289758893,0.013079450892037388,1.0999666894999496,124.20744428928174,-58.76230421146993,230.99999999999994,4638.0,133.9313603337172,1332146.282991482,0.00404981283584005
5,10,5049.249814056524,4.671786480576645,-0.01770346812573226,-6.653098064659992e-05,0.002174741895632982,0.008529327289736266,1.0896705602980812,11.99954410957386,122.38794756134075,41.000000000000014,1103.0,246.34923147840342,268111.7297412951,0.0011845865199999715
6,12,3772.152324943895,11.725526868145487,-0.022065152937924336,-6.615015375569594e-05,0.002299025403241339,0.3454550708224025,1.0946638211654454,7.3057999544752965,-8.750894813269142,35.000000000000014,1001.0000000000001,217.20774100616214,219069.01342719494,0.0005611893529821662
7,13,21812.180571538775,26.109386257719024,0.0016806709129197882,8.102106164519367e-05,-0.001004639853315836,0.10645742536585753,0.9266559427141117,56.33063947718672,56.58480739981575,255.00000000000006,4870.0,73.841434123668,1258379.1053410065,0.004772138915473165
8,15,9013.765887573882,33.99722437965957,-0.008915654130167146,1.4316054719446943e-05,0.00045839057135343953,0.27549266595913663,0.9753771227052885,81.86470984455173,-96.99021389869789,236.99999999999994,4858.0,124.38614907392221,1358254.2772100216,0.009239268459678374
9,18,15532.208846362852,10.259744575867424,-0.012448989152416393,-6.61880333889932e-05,0.0020922021304988904,0.006072381658415235,1.0864042157380984,9.658603325837458,100.32147386373373,119.0,2498.0,134.79358152093147,633168.9976983925,0.005882901628917525
10,20,18850.75731460823,12.010522015522884,-0.021588969856238403,-0.00010440880576006985,0.0031605567944177995,0.044109184234569894,0.9029929535241072,-17.796428773764454,-120.62672971145335,143.0,2703.0,141.85705658658648,675564.2996206644,0.0015815517771741484
11,25,7202.602269690287,15.501650540396039,-0.001153988133402226,2.1387538506471793e-05,4.3987214943784096e-07,0.00835795192323548,1.0807811344925577,161.4984045215389,-41.33093049637086,221.00000000000003,4473.0,166.79813824200795,1386266.3335323576,0.0034124091267059425
12,26,17297.487439797955,16.680166519652428,0.006898982243630174,8.926486982536652e-05,-0.0007060149578594792,0.001000000226131408,0.9000000116530408,30.10895049191656,-140.57980131176976,231.0,4137.0,144.8483916940744,1154789.5881850838,0.0034215116117960326
13,30,17085.308514861652,11.298801956308836,-0.013942454859345544,-6.274201057615329e-05,0.001968497436876554,0.027706394707428007,1.020214823249006,2.456771336720118,98.81494276504218,106.99999999999997,2353.0,139.71256409589657,578407.3058426983,0.0004653095686405779
14,31,11649.924373128722,5.563114912335465,-0.031378221200781584,-0.00017428916537833315,0.004911981249602369,0.0010708426443001298,1.0876306501646387,3.3170594385127066,48.83906258624528,78.99999999999997,1790.0,149.9602824093433,405214.7345117459,0.002235812198317408
15,32,10354.585853129305,6.635166576112239,-0.028860902049959655,-0.00017572488534217613,0.004916668744233335,0.0010000010683734247,0.9000000000156736,0.23912676170772568,48.43384545294411,82.99999999999994,1876.0,140.467098735647,428678.6644300364,0.003374493706493467
16,34,29930.074653838063,7.557611329585989,-0.04526286532051045,-0.00025655767599132973,0.0071908801858162515,0.0010000000121224365,0.9000000000588663,9.84591095181276,48.416966209212475,191.99999999999991,3347.0,75.0100543645317,781073.1889630482,0.005078277280987198
17,35,13297.66236125016,7.330135156065287,-0.030826267354539028,-0.00013956702052534117,0.004514426075432774,0.0010000000000146957,0.9000000024615761,20.636259371076438,164.5619838491225,152.99999999999997,2627.0,180.00083920204372,726593.5481644282,0.0029375822176875704
18,36,12809.749321055044,16.390147616203276,-0.023152788943431153,-8.763891101608708e-05,0.0028495968949763437,0.2200324124650464,0.9151004537494197,10.442232222893088,137.54360002946345,113.99999999999999,2398.0,160.94747832059997,613389.5832481338,0.0072382504438821965
19,37,16012.300545083048,16.324816225976868,0.004411116015924173,5.397853851977279e-05,-0.00014221220411693656,0.0010000004024350918,0.9000000030136646,27.874316531325665,-156.23122493999753,228.0,4033.0,159.09771770845737,1168709.5094986625,0.013405491337876552
20,38,25375.34127171047,7.23164110413671,-0.0419690026130908,-0.00024789776211563364,0.0068145170508888036,0.0010697078401400802,0.9958986343600729,5.263459056565253,35.28453543860032,153.00000000000003,2756.0,87.76531193974074,637090.5056238079,0.004989059764938769
21,39,29288.137435560802,8.047097041156025,-0.031676080585432156,-0.00016902565268839877,0.005057847515645686,0.001401018439950704,0.9097008841677995,-1.993951422037196,-56.11618954367064,136.0,2818.0,94.73684119290658,674939.1825023819,0.004589292751571869
22,43,43672.851928681135,16.013892585344802,0.0063184617438026966,3.511826311888858e-05,2.509437316199197e-05,0.002491201088496785,0.9550720501021817,-0.6898905902954983,-24.235041662273904,196.00000000000006,3567.0,54.749047688521486,868590.2929357494,0.003579857868633976
23,48,26625.04252128724,10.514296056692906,-0.026484808547169003,-0.00014345101703279028,0.004506322689820306,0.0010000004633013168,0.9000009387305973,14.704543746887188,112.09314415945181,220.99999999999997,3364.0,121.96369426058723,855741.3345283321,0.007991118209963566
24,49,14079.657288417815,8.815845866502304,-0.020511044684337926,-0.00017024944268509778,0.004392481169269047,0.0021584269379105506,0.9018467431397988,-7.838390426465942,9.874113546026944,93.99999999999994,1990.0,129.3571115246858,450889.76620128227,0.0066953682682482085
25,50,6975.441047859111,6.491391959345116,-0.023160436351528205,-0.0001358804898313223,0.0039490486646864935,0.001009929141673774,1.0316392862802204,5.276458271468607,118.53282131284186,70.0,1586.0,180.0952080567387,380217.2661189102,0.0027788563010419376
26,52,8086.769058758242,37.688748250344794,-0.007337144494769309,1.6011778472402693e-05,0.00032593447697337643,0.38980552881358504,0.9229747107549741,121.08637686739952,67.14864899782319,295.99999999999994,4793.0,134.8408826552615,1376709.6327941343,0.009202821608898404
27,54,16839.246227331707,19.137321412726006,0.0017029935663825998,7.30134086880394e-05,-0.0008977571356542314,0.02344997812620776,1.0547986073136666,69.07590751232588,0.1943100800082389,239.00000000000006,5206.0,62.64019755591532,1341314.6301144185,0.007245516820910292
28,55,9355.62909321922,18.8471402179593,-0.011411245776659994,-1.890080636209439e-05,0.001131862640498492,0.03522531806061269,1.0999525565887434,77.06770887811922,-142.64038196403638,264.0,4343.0,159.07067509836625,1306992.88720376,0.006125585156032301
