,idx,fcn,p0,p1,p2,p3,p4,s,x0,y0,I_max,sum,R_t,Int,err_Int
0,0,11666.199289703178,20.66771061802175,0.029470911975598195,0.0002429284620948804,-0.005254467539782389,0.025122146902010686,1.0830690040744124,91.83715938290827,18.599086918769142,174.00000000000006,4072.0,88.79628434399719,1084876.702427635,0.0006961506267783718
1,1,3875.4112587796503,4.489182313894558,-0.02190484171155724,-8.83998941270684e-05,0.0028566156813840788,0.010717831312673648,0.9000010281728821,13.815544716480215,139.02148547223086,40.000000000000014,1169.0,216.19410505376877,294224.01179700677,0.00018884003823308078
2,3,6693.98400159489,14.042382803727161,0.0029296257890027637,1.9977801046626514e-05,0.00014040399131875993,0.0029783736933828692,0.9003999660740072,93.55561049452562,162.98680332562083,176.0,3042.0,188.6270995393027,992149.739452064,0.0045685124272155965
3,4,5228.217628455116,18.422809267172045,0.0191574807087068,0.00016155866102761704,-0.003470983333023871,0.02017446829021676,1.0983453836954375,127.52647399802439,32.456996351361724,177.99999999999997,3892.0,127.23013360682286,1124736.0965650945,0.004445954702350985
4,5,3407.063049518158,14.614669934016,0.010158276415449767,5.6610917107552486e-05,-0.0008047203915817312,0.0010132368950767992,0.9009634696462429,139.503342125121,158.5904630200893,180.0,2769.0,215.1233731420182,1018785.1738773063,0.0033342301641475086
5,6,18463.138754477866,7.604821863318845,-0.028991410951808332,-0.0001338565690139774,0.004176088865548519,0.006513107084876945,0.9077389296850659,22.430276806732916,80.00414579733368,121.99999999999997,2890.0,96.33069254837734,705595.0354971979,0.002202318350150341
6,7,11160.6991212365,19.490978786495806,-0.017949136112347136,-3.5386796849642195e-05,0.0017072748274862897,0.1291001342495552,1.0517001152600747,77.39184659077324,89.40270410987274,162.0000000000001,3788.0,115.10113877499215,1022487.7660697331,0.0017247950727114908
7,10,35880.76068893145,64.040172333162,0.0018091133555885152,7.543367287682688e-05,-0.0011406009294189585,0.8102441502408375,1.0667729961198567,12.664307015276252,-13.431416863999116,244.0,3738.0,24.12039936108853,946119.75292504,0.003823171022085181
8,11,12090.346879815224,7.967178668917995,-0.03354050133231768,-0.00016532819856406044,0.005165066475908161,0.0010000004320451317,0.9000000005784098,5.182951909530879,-166.0999381662356,159.99999999999997,2666.0,179.6056769927944,722091.092376907,0.004323658460255314
9,13,11282.549936326885,6.8880937080595395,-0.030086143279407354,-0.00014876396530359866,0.004612320202901493,0.0010000000215475108,0.9000000213120726,-8.339916309903543,-138.04134190760163,124.0,2232.0,161.02120139997092,567931.2151447916,0.002875947185323427
10,14,18266.47633685477,11.561321154573868,-0.02298089677232016,-9.009476233341542e-05,0.002851564676309914,0.04597663977583538,1.0940427168863425,16.73433527799559,85.31646327929619,115.99999999999997,2521.0,111.03690633266942,611835.0352016776,0.0035325059855281574
11,15,9938.266127339031,6.45311992969172,-0.030103609652733385,-0.00018185289921308478,0.005075308874441602,0.0010925056664869682,0.9361918878861746,7.378355089731055,39.13068752826794,85.99999999999999,1816.0,119.19586702130236,416076.17908309016,0.0032965346303043402
12,19,6123.961594945843,6.836274527220409,-0.008592831882723691,-8.693206129036597e-05,0.002306299343014837,0.0010000245223373632,0.9000000055325416,-22.08638794782976,-114.67119661051564,55.99999999999998,1309.0,186.9358916115629,301888.6933699385,0.0017934154776080638
13,20,14043.493268400462,6.378500284842604,-0.029819800261970474,-0.00014656741602879012,0.0044210817807043565,0.004268562231756665,0.9228496340898669,18.65305766440023,95.3184694859906,96.99999999999997,2131.0,124.55408604718674,514571.2731440761,0.002023270447745848
14,26,9275.336856150345,18.059055821526226,-0.004259711126225223,4.089098855546032e-05,-0.00026250676899978326,0.073831232302901,1.0216562340134172,95.50901486480501,115.17778441546005,176.00000000000003,3483.0,145.17841833881508,1027321.8900372222,0.0018973139646146706
15,30,23461.084462448012,8.740270372036452,-0.027532023217043844,-0.0001459479702432835,0.0045448135656546455,0.0010000007101713044,0.9000015729064272,-2.757708291883437,-81.80386731571888,159.99999999999997,2695.0,96.85957698797782,666068.1505184323,0.005276080836311259
16,31,18269.669493258745,10.66073262736028,-0.016057770718772787,-8.707563274116325e-05,0.002947722149410878,0.0010000000961899705,0.9000003175942652,34.46142921282431,153.96262144882408,162.99999999999997,2894.0,160.19334354881164,800992.978026584,0.005217490843717892
