,idx,fcn,p0,p1,p2,p3,p4,s,x0,y0,I_max,sum,R_t,Int,err_Int
1612,3427,7774.644251773065,14.740260580363651,0.004225617591476193,8.027144192068713e-05,-0.0013176405182640483,0.018461870977614956,1.0999998891053444,-5.445590646396555,141.37867788845824,158.99999999999997,3471.0,143.0623685956307,1007331.2268809318,0.006654061687272603
1613,3428,5278.708596822178,6.3978590447560375,-0.010087201779394752,-8.552881424344819e-05,0.002174852041049505,0.003447086883646833,1.0829507186674514,-76.65776734169037,58.36811924438147,45.00000000000001,1197.0,182.28979019681822,268317.7392833126,0.0020492657534304584
1614,3431,6061.15504887305,15.98570670120103,0.01736648430336989,0.00015173069577943994,-0.0032239754496612176,0.01566980083950558,1.0999999930069353,126.50089315800999,48.89370898037281,143.99999999999997,3629.0,130.08308122968953,1066586.1859958777,0.005649102691657304
1615,3434,17939.738409344256,11.035794731801051,-0.012469363386546632,-4.042749024033195e-06,0.0010609784807959928,0.02222767719680164,1.0030838491028193,94.5656183381559,-38.50874199169294,149.99999999999997,3359.0,98.71750088408842,879023.6329563798,0.0017565699437928559
1616,3435,24308.53092077552,12.735262021638327,-0.0008194085072592709,3.9267991831297704e-05,-0.00019237139055396194,0.007506003723322942,1.0999998943589138,0.6487224537759109,42.96898438150541,177.00000000000006,3548.0,28.604949832502765,883033.2957927724,0.001977069125817677
1617,3436,10048.67336635128,8.527941146667217,-0.02123904157222842,-8.32710366316867e-05,0.002728249058328194,0.028625870251905685,0.9611482179217861,-106.39624456073827,118.25461832665121,93.00000000000003,1996.0,182.90118505838063,549088.6965784921,0.0006651985879968583
1618,3442,18404.705540236333,5.221063710354135,-0.031668326338480816,-0.00012186119780616486,0.004162209787913827,0.001000021433393106,0.9000040613917638,40.22674490196865,-23.990945284267088,109.0,2491.0,79.6148207313814,602617.0237513423,0.0010909213861140174
1619,3443,10257.835980287833,9.458154320745148,-0.02512639989116013,-9.345126714009269e-05,0.003102303484044644,0.07362936622218451,0.9000000119219133,-100.9977903322443,116.58054606848911,100.00000000000003,2028.0000000000002,182.65064986473496,549584.360957702,0.0031226049549265174
1620,3444,12152.105479024076,6.713589327208503,-0.02901618372158452,-0.00019978370217832735,0.00530552994326359,0.001000000936415121,0.9000006740590535,-27.09497167311259,15.3964217335667,77.00000000000001,1670.0,129.43298537142687,374548.04584992846,0.004201567958614955
1621,3445,4902.278843096107,9.834767511433695,-0.020678874932331743,-7.832769573773097e-05,0.002583173672814708,0.10018736318893112,0.9000000360752398,118.16877899567135,-124.40046702053922,70.00000000000001,1387.0,232.6998082172824,385825.5785584467,0.0006884572387985755
1622,3446,5632.0607691371315,14.2436386282786,0.007498450923905723,8.651326798764593e-05,-0.0015689023913186694,0.01058852649087005,1.0999998557121982,120.45154427918692,40.26079952932847,168.99999999999997,3748.0,125.07642369467557,1050252.233251649,1.1193190476200404e-05
1623,3448,10441.986786716378,11.446240183535295,-0.011840303316547153,-6.502003738463076e-05,0.0020413947707992926,0.006420078672834087,1.0996794871506614,129.71150272764035,-101.98343416512232,153.0,2563.0,178.26167069788167,723837.4086214099,0.00810359462481089
1624,3449,14891.174226588728,45.043398841901784,-0.01868749732229532,-3.190232604692849e-05,0.0016866215816985204,0.8487709611887012,1.0882583410650428,-51.317053121034846,111.83599565338824,180.99999999999997,3348.0,115.80809398794197,918190.25395854,0.0027387410058686695
1625,3450,4512.957509011106,15.152333137889883,0.009288703984639098,7.53074765296106e-05,-0.0015929970283118384,0.012676835512003222,1.0999995278160926,151.3498997058817,79.01129990018119,149.00000000000003,3296.0,165.01565587667736,1045505.0679437842,0.010980460270311188
1626,3451,22826.077271004426,45.909776282114734,-0.02246980630224172,-5.5823482121330676e-05,0.002291485542817637,0.9999998525097934,1.0999999972348615,8.056082219714042,11.004938272630916,189.00000000000006,3265.0,22.71517447016421,810296.2080896554,0.004633320748052963
1627,3453,12599.711244843113,11.297939980393467,-0.010718342326135484,-4.8461933998117836e-05,0.0017740100445108266,0.009093834844145707,0.9550048411572152,128.93881479927396,-92.38729857688377,154.0,2758.0,160.8247367695654,783787.97894489,0.0018016475094130915
1628,3454,13446.673175486889,11.35085781041889,-0.010422074885482968,-5.19143206065228e-05,0.0019289027374981512,0.002032275445152375,1.0998421315361226,132.41161581012707,-83.24503693658355,150.0,2918.0,158.04889493156855,826347.5509604133,0.00476481417548047
1629,3455,4684.462256735593,3.2516060713043693,-0.03588541019959838,-0.00016061664850477588,0.004927203922437621,0.0010000015576498305,0.900000052636489,-67.57892641845646,80.92044892907792,49.0,1168.0000000000002,205.03826686316384,271687.33544163825,0.0004989234476589499
1630,3457,12703.906408799168,10.411524890612755,-0.02763663060636065,-0.00010764561055453583,0.00338619193326014,0.07420574754866031,1.0995716528661212,-58.731550886995706,58.61465095949805,81.0,1840.0000000000002,138.8609745307068,437790.5863869517,0.006497952379759628
1631,3459,9516.068934666355,5.120716070886877,-0.039649326632730394,-0.00020017522966266275,0.005927043124909307,0.0010000000041039947,0.9000000168209398,68.00722013095158,-85.33244876900979,89.0,1828.0000000000002,157.56786058739897,429554.5083596827,0.0017626422890818366
1632,3461,6537.770428533511,7.320716808468408,0.02678285066871125,0.00020811652330038886,-0.004158990022298782,0.0014278778324370092,0.9018790147130404,6.083077706911367,-0.5834658335637823,47.000000000000014,1213.0,176.4374350584365,284047.63997155474,0.00043151905893886594
1633,3464,14755.551939135259,14.386630703348224,0.01828513016175126,0.0001373639294138609,-0.0023716442266155527,0.0010000001266603493,0.9000000015811417,127.3269596307557,-70.17047679976524,170.99999999999994,3172.0,140.11293939119255,892099.9319485351,0.0006856125757618552
1634,3465,5165.22687309497,2.6767782997870193,-0.0362242786873362,-0.0001647782687471682,0.004912450073463876,0.0010000000405705144,0.9000000264855714,39.46885782598178,-26.701643231615016,39.99999999999999,1086.0000000000002,185.5856321270588,239556.70498020604,0.00031833091078935227
1635,3466,3967.6571792279587,16.404282893478783,0.015569551173755925,0.0001161064828117306,-0.002577989235684416,0.01325991041190059,1.0999995651501786,109.46018271067378,94.10112117557955,150.00000000000003,3646.0,147.93670230098414,1076856.219699657,0.003320078773959345
